cycle,Finca,day,feed,initial_density,initial_population,initial_weight,morning_oxygen,morning_temperature,survival_rate,weight,sgr,fca
Corporeal -Ps 14 - 05-01-18 - Directa.xls,Corporeal,108,1438.738548,10.5665529,619200,0.2,4.63,29.92,40.82,20.82,0.192777778,1.6
Corporeal -Ps 14 - 20-04-19 - Transferencia.xls,Corporeal,80,1416.677942,10.06206485,589637,0.2,4.223214286,29.03571429,56.33,17.27,0.215875,1.5
Corporeal -Ps 15 - 05-01-19 - Directa.xls,Corporeal,106,1537.571319,11.03983784,408474,0.2,4.589753086,29.50888889,52.02,18.18,0.171509434,1.5
Corporeal -Ps 15 - 20-04-19 - Transferencia.xls,Corporeal,77,1326.464812,10.13483784,374989,0.2,4.588235294,29.95441176,62.95,17.29,0.224545455,1.2
Corporeal -Ps 16 - 02-04-19 - Transferencia.xls,Corporeal,78,1097.19473,10.03373494,249840,0.2,4.078714286,28.06342857,49.65,15.51,0.198846154,1.4
Corporeal -Ps 16 - 25-12-18 - Directa.xls,Corporeal,105,1614.914707,10.04746988,250182,0.2,4.056489362,28.35255319,68.4,18.02,0.171619048,1.3
Corporeal -Ps 2 - 09-12-18 - Directa.xls,Corporeal,88,1143.064501,11.13292035,629010,0.2,4.55691358,29.60395062,62.96,15.51,0.17625,1.1
Corporeal -Ps 2 - 21-03-19 - Transferencia.xls,Corporeal,77,1383.02937,10.04102655,567318,0.2,4.678714286,30.30314286,52.62,17.25,0.224025974,1.5
Corporeal -Ps 2 - 27-08-18 - Directa.xls,Corporeal,97,1108.623241,10.98637168,620730,0.2,4.465774648,29.63661972,46.27,19.02,0.196082474,1.1
Corporeal -Ps 3 - 08-12-18 - Directa.xls,Corporeal,87,961.8638572,11.09319809,464805,0.2,4.757530864,29.80987654,50.96,16.17,0.185862069,1.1
Corporeal -Ps 3 - 21-03-19 - Transferencia.xls,Corporeal,77,1206.091754,10.09677804,423055,0.2,4.267857143,28.51114286,57.69,17.42,0.226233766,1.2
Corporeal -Ps 3 - 26-08-18 - Directa.xls,Corporeal,96,1401.495723,10.87840095,455805,0.2,4.718,29.68857143,64.06,16.02,0.166875,1.3
Corporeal -Ps 4 - 09-12-18 - Directa.xls,Corporeal,88,951.7499084,11.08982278,438048,0.2,4.638888889,29.66518519,46.55,17.92,0.203636364,1
Corporeal -Ps 4 - 21-03-19 - Transferencia.xls,Corporeal,77,1292.119929,10.04086076,396614,0.2,4.660735294,30.02676471,59.73,17.46,0.226753247,1.2
Corporeal -Ps 4 - 26-08-18 - Directa.xls,Corporeal,96,1196.921971,9.104810127,359640,0.2,4.763428571,29.98371429,60.82,16.46,0.171458333,1.3
Corporeal -Ps 5 - 08-12-18 - Directa.xls,Corporeal,87,905.0912811,11.07071523,835839,0.2,4.63525,29.76375,51.35,15.42,0.177241379,1
Corporeal -Ps 5 - 22-03-19 - Transferencia.xls,Corporeal,77,1200.680335,9.990649007,754294,0.2,4.725714286,30.32285714,58.86,18.16,0.235844156,1.1
Corporeal -Ps 5 - 29-08-18 - Directa.xls,Corporeal,99,1183.077166,9.009774834,680238,0.2,4.651940299,29.74328358,66.18,16.62,0.167878788,1.2
Corporeal -Ps 6 - 05-01-19 - Directa.xls,Corporeal,108,1643.449219,11.018,594972,0.2,3.95990099,27.37346535,57.25,18.26,0.169074074,1.4
Corporeal -Ps 6 - 10-09-18 - Directa.xls,Corporeal,111,1412.534734,9.111666667,492030,0.2,3.868,28.11788235,62.96,17.82,0.160540541,1.4
Corporeal -Ps 6 - 20-04-19 - Transferencia.xls,Corporeal,81,1293.423515,10.00292593,540158,0.2,4.733802817,30.15492958,66.18,17.02,0.210123457,1.2
Corporeal -Ps 7 - 09-12-18 - Directa.xls,Corporeal,89,1084.429949,11.21727273,641628,0.2,4.072658228,28.61392405,70.34,14.42,0.162022472,1
Corporeal -Ps 7 - 22-04-19 - Transferencia.xls,Corporeal,93,1549.922,12.06031469,689850,0.2,4.515942029,29.87391304,71.54,17.23,0.185268817,1
Corporeal -Ps 7 - 26-08-18 - Directa.xls,Corporeal,96,1183.555173,9.013846154,515592,0.2,4.111267606,28.84647887,75.24,15.82,0.164791667,1.1
Corporeal -Ps 8 - 09-01-19 - Directa.xls,Corporeal,108,1489.286154,11.0593949,694530,0.2,4.472727273,29.45454545,58.36,18.68,0.172962963,1.2
Corporeal -Ps 8 - 12-09-18 - Directa.xls,Corporeal,113,1728.14688,11.0025,690957,0.2,4.477011494,29.12988506,61.91,19.32,0.170973451,1.3
Corporeal -Ps 8 - 20-04-19 - Transferencia.xls,Corporeal,89,1393.944104,11.025,692370,0.2,4.760294118,30.43970588,60.69,17.67,0.198539326,1.2
Corporeal -Ps 9 - 02-04-19 - Transferencia.xls,Corporeal,77,948.6272654,10.04277778,777311,0.2,4.804347826,29.92173913,45.05,16.02,0.208051948,1.3
Corporeal -Ps 9 - 25-12-18 - Directa.xls,Corporeal,104,1542.933134,11.11511628,860310,0.2,4.554166667,29.95729167,68.35,16.77,0.16125,1.2
Corporeal -Ps 9 - 29-08-18 - Directa.xls,Corporeal,100,1353.406936,11.01523256,852579,0.2,4.567567568,30.07162162,64.7,16.02,0.1602,1.2
Cricavisa Ps 1-2018 Mayo 14.xls,Cricavisa,84,1595.666667,10,300000,0.2,3.52125,28.1475,76,17.02,0.202619048,1.2
Cricavisa Ps 10-2018 Junio 5.xls,Cricavisa,105,1823.245109,10.12658228,400000,0.2,3.863917526,27.56701031,57.5,22,0.20952381,1.4
Cricavisa Ps 2-2018 Mayo 16.xls,Cricavisa,99,2370.727273,12.8,640000,0.2,3.358695652,27.90217391,40.5,19.71,0.199090909,2.3
Cricavisa Ps 3-2018 Mayo 14.xls,Cricavisa,97,2093.421053,15.78947368,1200000,0.2,3.411235955,28.03370787,35,20.24,0.208659794,1.9
Cricavisa Ps 4-2018 Abril 23.xls,Cricavisa,83,1725.13369,12.05882353,205000,0.2,3.578666667,28.2,56,16.07,0.193614458,1.6
Cricavisa Ps 5-2018 Junio 18.xls,Cricavisa,95,2159.381044,11.06382979,260000,0.2,3.089247312,26.86021505,57,18.16,0.191157895,1.9
Cricavisa Ps 6-2018 Junio 18.xls,Cricavisa,119,2418.552876,10.20408163,250000,0.2,3.221621622,27.13513514,51,23.26,0.195462185,2
Cricavisa Ps 7-2018 Mayo 14.xls,Cricavisa,84,1793.560606,10.41666667,250000,0.2,3.414285714,28,51,16.9,0.201190476,2
Cricavisa Ps 8-2018 Mayo 18.xls,Cricavisa,88,1983.003953,10.86956522,250000,0.2,3.49382716,28.00617284,55,16,0.181818182,2.1
Cricavisa Ps 9-2018 Mayo 14.xls,Cricavisa,84,1829.65035,10.15384615,330000,0.2,4,28.05194805,49,21.13,0.251547619,1.7
Cricavisa-Piscina 1-Transferida.xls,Cricavisa,84,1597.272727,10,300000,0.2,3.203225806,28.25714286,76,17.02,0.202619048,1.2
Cricavisa-Piscina 10-Transferida.xls,Cricavisa,105,1823.245109,10.12658228,400000,0.2,3.844897959,27.54081633,57.5,22.63,0.21552381,1.4
Cricavisa-Piscina 3-Transferida.xls,Cricavisa,97,1777.631579,15.78947368,1200000,0.2,3.741111111,28.01111111,35,20.24,0.208659794,1.6
Cricavisa-Piscina 4-Transferida.xls,Cricavisa,83,1725.13369,12.05882353,205000,0.2,3.578947368,28.19736842,56,16.07,0.193614458,1.6
Cricavisa-Piscina 6-Transferida.xls,Cricavisa,119,2418.552876,10.20408163,250000,0.2,3.221428571,27.10714286,51,23.26,0.195462185,2
Cricavisa-Piscina 7-Transferida.xls,Cricavisa,84,1793.560606,10.41666667,250000,0.2,3.414285714,28,51,16.9,0.201190476,2
Cricavisa-Piscina 8-Transferida.xls,Cricavisa,88,1983.003953,10.86956522,250000,0.2,3.458024691,27.96296296,55,16,0.181818182,2.1
Cricavisa-Piscina 9-Transferida.xls,Cricavisa,84,1829.65035,10.15384615,330000,0.2,4,28.05194805,49,21.13,0.251547619,1.7
Cybernius  Ps 5V -2018 Marzo 17.xls,Cybernius,87,2678.571429,13.61344538,1620000,0.26,5.113793103,28.34482759,58,21.7,0.249425287,1.6
Cybernius Ps 0CA-2017 Junio 13.xls,Cybernius,81,3423.184358,13.40782123,240000,0.03,5.244444444,27.71604938,100,14.5,0.179012346,1.8
Cybernius Ps 0DA-20117 Junio 12.xls,Cybernius,80,3288.157895,14.21052632,270000,0.03,5.1925,27.8,81,14,0.175,2
Cybernius Ps 0EA-2017 Junio 12.xls,Cybernius,85,2677.595628,10,183000,1,5.382352941,28.12941176,131,14,0.164705882,1.5
Cybernius Ps 0F-2012 Julio 7.xls,Cybernius,143,2740.942029,7.065217391,585000,0.1,5.715594406,27.86713287,78,25.3,0.176923077,2
Cybernius Ps 0G-2012 Diciembre 5.xls,Cybernius,146,2059.359903,7.357487923,609200,0.1,5.159726027,25.32671233,59,23.2,0.15890411,2
Cybernius Ps 0H-2013 Abri 30.xls,Cybernius,136,2482.487923,8.09178744,670000,0.1,5.681703704,28.39259259,81,23.2,0.170588235,1.6
Cybernius Ps 0I-2013 Octubre 6.xls,Cybernius,143,2270.531401,8.09178744,670000,0.1,5.402447552,25.3986014,70,22.2,0.155244755,1.8
Cybernius Ps 0J-2014 Febrero 19.xls,Cybernius,126,2774.698068,8.02173913,664200,0.1,5.491269841,27.13174603,99,19,0.150793651,1.8
Cybernius Ps 0K-2014 Juunioo 1.xls,Cybernius,86,1984.057971,8.212560386,680000,0.1,5.547674419,28.23593023,93,20,0.23255814,1.3
Cybernius Ps 0L-2014 Octubre 8.xls,Cybernius,124,2682.669082,8.212560386,680000,0.1,5.2825,25.47580645,93,23,0.185483871,1.5
Cybernius Ps 0M-2015 Enero 20.xls,Cybernius,94,2092.391304,8.09178744,670000,0.1,5.634042553,26.28617021,81,19,0.20212766,1.7
Cybernius Ps 1AG-2012 Julio 18.xls,Cybernius,139,2356.243154,8.871851041,810000,0.1,5.528057554,27.39776978,66,24.6,0.176978417,1.6
Cybernius Ps 1AH-2012 Diciembre  13.xls,Cybernius,131,1740.273823,7.031763417,642000,0.1,5.10610687,25.42977099,85,20,0.152671756,1.5
Cybernius Ps 1AI-2013 Mayo 15.xls,Cybernius,147,2470.646221,8.105147864,740000,0.1,5.617210884,28.63945578,79,23,0.156462585,1.7
Cybernius Ps 1AK-2014 Febrero 12.xls,Cybernius,107,2087.62322,8.105147864,740000,0.1,5.329439252,25.40186916,89,17.3,0.161682243,1.7
Cybernius Ps 1AM-2014 Octubre 22.xls,Cybernius,138,3315.553122,8.214676889,750000,0.1,5.661594203,25.81884058,80,21,0.152173913,2.4
Cybernius Ps 1AN-2015 Febrero 18.xls,Cybernius,110,2221.35816,8.050383352,735000,0.1,5.333181818,25.30909091,92,18.3,0.166363636,1.6
Cybernius Ps 1AR-2016 Octubre 2.xls,Cybernius,102,3295.728368,11.17196057,1020000,0.05,5.304117647,25.1372549,66,15,0.147058824,3
Cybernius Ps 1AS-2017 Enero 29.xls,Cybernius,87,2272.508215,8.871851041,810000,0.55,5.286206897,26.75747126,54,24.6,0.282758621,1.9
Cybernius Ps 1AT-2017 Mayo 29.xls,Cybernius,77,4171.96057,15.12595838,1381000,0.2,5.361038961,28.57519481,100,16,0.207792208,1.7
Cybernius Ps 1AU-2017 Septiembre 23.xls,Cybernius,93,2596.933187,10.95290252,1000000,0.55,5.231397849,25.07526882,89,16.5,0.177419355,1.6
Cybernius Ps 1AV-2018 Enero 8.xls,Cybernius,101,4008.762322,14.89594743,1360000,0.3,5.544554455,25.89405941,62,21,0.207920792,2.1
Cybernius Ps 1AW-2018 Abril 20.xls,Cybernius,97,4487.404162,13.14348302,1200000,0.29,5.896082474,28.53608247,96,21.1,0.217525773,1.7
Cybernius Ps 1AX-2018 Agosto 12.xls,Cybernius,106,7444.687842,23.16538883,2115000,0.5,5.983679245,26.81132075,75,20.2,0.190566038,2.1
Cybernius Ps 1BG-2012 Julio 18.xls,Cybernius,145,2363.033954,8.871851041,810000,0.1,5.977793103,27.66206897,66,24.3,0.167586207,1.7
Cybernius Ps 1BH-2012 Diciembre 26.xls,Cybernius,145,1931.708653,7.031763417,642000,0.1,5.159310345,25.56896552,61,23.1,0.159310345,2
Cybernius Ps 1BI-2013 Mayo 22.xls,Cybernius,134,2439.32092,8.105147864,740000,0.1,5.641268657,27.55223881,76,21.2,0.158208955,1.9
Cybernius Ps 1BJ-2013 Octubre 19.xls,Cybernius,137,2082.584885,8.105147864,740000,0.1,5.971532847,25.37956204,86,21,0.153284672,1.4
Cybernius Ps 1BK-2014 Febrero 5.xls,Cybernius,100,1945.071194,8.105147864,740000,0.1,5.245,26.827,79,18,0.18,1.7
Cybernius Ps 1BL-2014 Mayo 28.xls,Cybernius,95,2106.352683,8.214676889,750000,0.1,5.982315789,28.16842105,85,19.6,0.206315789,1.5
Cybernius Ps 1BM-2014 Octubre 22.xls,Cybernius,138,3214.403067,8.214676889,750000,0.1,5.741304348,25.4057971,74,25,0.18115942,2.1
Cybernius Ps 1BN-2015 Febrero 23.xls,Cybernius,106,2149.780942,8.050383352,735000,0.1,5.361320755,26.05377358,63,17.6,0.166037736,2.4
Cybernius Ps 1BR-2016 Noviembre 13.xls,Cybernius,101,3236.582694,11.06243154,1010000,0.25,5.636633663,25.44554455,91,18,0.178217822,1.8
Cybernius Ps 1BS-2017 Marzo 16.xls,Cybernius,99,4122.124863,11.28148959,1030000,0.4,5.576262626,26.54545455,80,24,0.242424242,1.9
Cybernius Ps 1BT-2017 Junio 17.xls,Cybernius,72,3444.961665,12.37677985,1130000,0.8,5.004166667,27.58333333,75,15,0.208333333,2.5
Cybernius Ps 1BU-2017 Octubre 6.xls,Cybernius,91,2867.46988,15.82694414,1445000,0.3,5.321333333,25.02222222,74,15.5,0.17032967,1.6
Cybernius Ps 1BV-2018 Febrero 3.xls,Cybernius,105,3018.181818,10.78860898,985000,0.3,5.36,26.6352381,61,22.5,0.214285714,2
Cybernius Ps 1BW-2018 Mayo 17.xls,Cybernius,96,5457.28368,15.55312158,1420000,0.3,5.764895833,28.65625,100,20,0.208333333,1.8
Cybernius Ps 1BX-2018 Agosto 29.xls,Cybernius,100,5495.618839,17.41511501,1590000,0.4,6.213,25.7,91,18.1,0.181,1.9
Cybernius Ps 2AA-2012 Diciembre 26.xls,Cybernius,120,1537.571429,7,490000,0.1,5.104166667,25.67083333,67,19.2,0.16,1.7
Cybernius Ps 2AB-2013 Junio 12.xls,Cybernius,155,3346.642857,8,560000,0.1,5.65116129,27.38709677,87,21,0.135483871,2.3
Cybernius Ps 2AC-2013 Noviembre 17.xls,Cybernius,139,2417.071429,8,560000,0.1,5.436834532,25.05035971,92,18.9,0.135971223,1.7
Cybernius Ps 2AD-2014 Marzo 5.xls,Cybernius,102,2121.785714,8,560000,0.1,5.552156863,27.11470588,90,20,0.196078431,1.5
Cybernius Ps 2AE-2014 Junio 25.xls,Cybernius,108,2627.571429,8.285714286,580000,0.1,5.203703704,27.97222222,99,18.5,0.171296296,1.7
Cybernius Ps 2AF-2014 Diciembre 10.xls,Cybernius,145,3171.571429,8,560000,0.1,5.316206897,25.31517241,78,20.9,0.144137931,2.4
Cybernius Ps 2AG-2015 Marzo 25.xls,Cybernius,99,2370.714286,8,560000,0.1,5.743434343,28.56868687,75,16,0.161616162,2.5
Cybernius Ps 2AL-2016 Octubre 20.xls,Cybernius,101,3659.285714,14.14285714,990000,0.05,5.460891089,25.03960396,76,17,0.168316832,2
Cybernius Ps 2AM-2017 Marzo 29.xls,Cybernius,128,6435.714286,16.78571429,1175000,0.44,5.288976378,28.15433071,41,32,0.25,2.9
Cybernius Ps 2AN-2017 Junio 17.xls,Cybernius,70,4030.428571,14.15714286,991000,1.2,5.05,27.65714286,91,17,0.242857143,1.8
Cybernius Ps 2AO-2017 Noviembre 4.xls,Cybernius,102,3498,16.14285714,1130000,0.25,5.389215686,25.16666667,58,20.6,0.201960784,1.8
Cybernius Ps 2AP-2018 Febrero 3.xls,Cybernius,87,2582.142857,11.77142857,824000,0.82,5.397701149,27.21034483,60,21,0.24137931,1.7
Cybernius Ps 2AQ-2018 Mayo 30.xls,Cybernius,87,5985.714286,15,1050000,0.2,5.473678161,28.56321839,100,20,0.229885057,2
Cybernius Ps 2AR-2018 Septiembre 26.xls,Cybernius,111,5500.714286,15.71428571,1100000,0.4,5.48963964,25.1981982,76,22,0.198198198,2.1
Cybernius Ps 2BA-2012 Diciembre 15.xls,Cybernius,98,1035.5,7,490000,0.1,5.318367347,25.45612245,40,15.2,0.155102041,2.4
Cybernius Ps 2BB-2013 Abril 30.xls,Cybernius,136,2578.928571,8,560000,0.1,5.732666667,28.69851852,77,22.1,0.1625,1.9
Cybernius Ps 2BC-2013 Septiembre 23.xls,Cybernius,138,2510.071429,9,630000,0.1,5.583695652,25.55072464,93,20,0.144927536,1.5
Cybernius Ps 2BD-2014 Enero 29.xls,Cybernius,121,2515.357143,8,560000,0.05,5.190082645,26.75950413,98,19,0.157024793,1.7
Cybernius Ps 2BE-2014 Junio 11.xls,Cybernius,113,3106.642857,8.285714286,580000,0.1,5.747876106,28.2920354,99,22,0.194690265,1.7
Cybernius Ps 2BF-2014 Octubre 8.xls,Cybernius,103,2326.785714,8,560000,0.1,5.640291262,25.01941748,95,19.3,0.187378641,1.6
Cybernius Ps 2BG-2015 Febrero 18.xls,Cybernius,126,2723.571429,8,560000,0.1,5.4376,27.2936,67,22.7,0.18015873,2.2
Cybernius Ps 2BL-2016 Octubre 1.xls,Cybernius,97,2359.285714,14,980000,0.05,6.221649485,25.19587629,87,18,0.18556701,1.1
Cybernius Ps 2BN-2017 Junio 11.xls,Cybernius,95,0,11.42857143,800000,0.9,5.541157895,28.22105263,96,21.5,0.226315789,0
Cybernius Ps 2BO-2017 Noviembre 2.xls,Cybernius,100,3479.285714,18.85714286,1320000,0.3,5.0672,25.4,64,16,0.16,1.8
Cybernius Ps 2BP-2018 Febrero 18.xls,Cybernius,92,2496.428571,17,1190000,0.2,5.297826087,26.65,50,22,0.239130435,1.3
Cybernius Ps 2BQ-2018 Junio 2.xls,Cybernius,92,6442.857143,14.78571429,1035000,0.3,5.468241758,28.47252747,100,21,0.22826087,2.1
Cybernius Ps 2BR-2018 Septiembre 26.xls,Cybernius,109,5336.428571,15.57142857,1090000,0.2,6.10733945,25.28440367,76,23.6,0.216513761,1.9
Cybernius Ps 2F-2012 Julio 18.xls,Cybernius,171,2846.891026,8.782051282,1370000,0.05,5.531169591,27.25730994,55,32.8,0.191812865,1.8
Cybernius Ps 3E-2012 Julio 17.xls,Cybernius,155,2905.866667,8.148148148,1100000,0.1,5.914387097,27.74193548,71,27.3,0.176129032,1.8
Cybernius Ps 3F-2012 Noviembre  11.xls,Cybernius,100,1248.185185,9.592592593,1295000,0.1,5.722,24.97,60,17.5,0.175,1.2
Cybernius Ps 3G-2013 Abril 27.xls,Cybernius,145,2320.148148,8,1080000,0.1,5.542275862,27.93586207,69,26.3,0.18137931,1.6
Cybernius Ps 3I-2014 Febrero 5.xls,Cybernius,118,2584.814815,8.592592593,1160000,0.1,5.530508475,26.38728814,99,18,0.152542373,1.7
Cybernius Ps 3J-2014 Mayo 28.xls,Cybernius,97,2274.518519,8.296296296,1120000,0.1,5.724845361,28.59793814,96,19,0.195876289,1.5
Cybernius Ps 3K-2014 Octubre 22.xls,Cybernius,134,2986.111111,8.259259259,1115000,0.1,5.776119403,25.31343284,86,22,0.164179104,1.9
Cybernius Ps 3L-2015 Febrero 18.xls,Cybernius,110,2098.148148,8.074074074,1090000,0.1,5.582,26.54272727,79,17.9,0.162727273,1.8
Cybernius Ps 3Q-2016 Octubre 1.xls,Cybernius,101,3314.074074,11.18518519,1510000,0.05,6.036633663,25.37623762,88,18,0.178217822,1.9
Cybernius Ps 3R-2017 Enero 29.xls,Cybernius,87,2633.703704,9.481481481,1280000,0.4,5.125862069,25.5,75,22.5,0.25862069,1.6
Cybernius Ps 3T-2017 Junio 23.xls,Cybernius,92,4498.888889,15.11111111,2040000,0.05,5.213043478,27.54347826,81,20,0.217391304,1.8
Cybernius Ps 3U-2017 Noviembre 5.xls,Cybernius,97,3295.185185,14.66666667,1980000,0.4,5.280412371,25.21649485,76,18,0.18556701,1.6
Cybernius Ps 3V-2018 Febrero 2.xls,Cybernius,87,2248.148148,14.07407407,1900000,0.4,5.487209302,27.20232558,60,21,0.24137931,1.3
Cybernius Ps 3W-2018 Mayo 31.xls,Cybernius,82,3653.703704,15.03703704,2030000,0.3,5.232926829,27.80487805,76,20,0.243902439,1.6
Cybernius Ps 3X-2018 Septiembre 26.xls,Cybernius,107,2907.407407,11.48148148,1550000,0.1,5.981308411,25.5046729,76,20,0.186915888,1.7
Cybernius Ps 42A-2019 Junio 22.xls,Cybernius,100,5432.926829,16.34146341,1340000,2,5.652,28.14,80,29.4,0.294,1.4
Cybernius Ps 43A-2019 Juilo 6.xls,Cybernius,101,6859.267735,16.01830664,1400000,0.7,5.091089109,27.20792079,100,22.7,0.224752475,1.9
Cybernius Ps 43B-2019 Noviembre 2.xls,Cybernius,113,5340.389016,13.53546911,1183000,0.25,5.344070796,24.55752212,100,23.1,0.204424779,1.7
Cybernius Ps 44A-2019 Julio 19.xls,Cybernius,84,3795.336788,13.14766839,1015000,1,5.55452381,26.16666667,77,23.1,0.275,1.6
Cybernius Ps 44B-2019 Diciembre 1.xls,Cybernius,116,6719.559585,17.81088083,1375000,0.33,5.605172414,24.97155172,92,22.5,0.193965517,1.8
Cybernius Ps 45A-2019 Junio 21.xls,Cybernius,104,6898.895028,20.26519337,1834000,0.5,5.298076923,27.91346154,52,29.2,0.280769231,2.2
Cybernius Ps 45B-2019 Octubre 28.xls,Cybernius,119,6116.022099,20.38674033,1845000,0.25,5.501680672,24.56302521,73,24.7,0.207563025,1.7
Cybernius Ps 46A-2019 Abril 20.xls,Cybernius,95,2943.333333,12.66666667,1520000,0.1,5.864210526,28.48421053,77,21.8,0.229473684,1.4
Cybernius Ps 46B-2019 Julio 18.xls,Cybernius,83,3485.416667,11.66666667,1400000,1.3,5.375903614,26.20481928,63,26.3,0.31686747,1.8
Cybernius Ps 46C-2019 Noviembre 26.xls,Cybernius,109,4637.5,13.70833333,1645000,0.34,5.521296296,24.89814815,90,23.1,0.211926606,1.6
Cybernius Ps 48A-2019 Julio 8.xls,Cybernius,103,6036.956522,19.34782609,4450000,0.55,4.404854369,27.36407767,74,22.3,0.216504854,1.9
Cybernius Ps 48B-2019 Octubre 31.xls,Cybernius,103,3085.869565,15.82608696,3640000,0.29,4.399029126,25.09708738,54,22.2,0.215533981,1.6
Cybernius Ps 4F-2012 Julio 18.xls,Cybernius,124,2060.070423,8.450704225,1200000,0.1,5.558064516,27.02419355,69,23,0.185483871,1.5
Cybernius Ps 4H-2013 Julio 24.xls,Cybernius,131,1981.866197,7.746478873,1100000,0.1,5.645801527,27,89,20,0.152671756,1.4
Cybernius Ps 4I-2013 Noviembre 5.xls,Cybernius,120,1747.007042,7.676056338,1090000,0.1,5.389166667,25.375,70,16,0.133333333,2
Cybernius Ps 4J-2014 Marzo 19.xls,Cybernius,96,2297.851852,9.111111111,1230000,0.1,5.489583333,28.30833333,96,17,0.177083333,1.5
Cybernius Ps 4K-2014 Agosto 6.xls,Cybernius,124,2993.925926,8.296296296,1120000,0.1,5.665853659,26.71544715,96,21,0.169354839,1.8
Cybernius Ps 4L-2014 Diciembre 20.xls,Cybernius,126,2585.185185,8.074074074,1090000,0.1,5.335714286,25.50793651,92,19,0.150793651,1.8
Cybernius Ps 4M-2015 Marzo 25.xls,Cybernius,78,1771.851852,9.037037037,1220000,0.1,5.530769231,27.24358974,87,14.4,0.184615385,1.6
Cybernius Ps 4R-2016 Diciembre 14.xls,Cybernius,103,3627.037037,10.07407407,1360000,0.3,5.366990291,25.61165049,96,20,0.194174757,1.9
Cybernius Ps 4S-2017 Abril 4.xls,Cybernius,77,2603.703704,11.11111111,1500000,0.35,5.837662338,28.46753247,81,19.6,0.254545455,1.5
Cybernius Ps 4U-2017 Julio 12.xls,Cybernius,79,3733.333333,12.85185185,1735000,0.2,5.870886076,26.69620253,76,20.5,0.259493671,1.9
Cybernius Ps 4W-2017 Noviembre 22.xls,Cybernius,100,4178.518519,15.74074074,2125000,0.3,5.511,25.31,90,17,0.17,1.7
Cybernius Ps 4Y-2018 Abril 3.xls,Cybernius,100,2457.777778,13.03703704,1760000,0.15,5.389,28.104,52,22.8,0.228,1.6
Cybernius Ps 4Z-2018 Julio 13.xls,Cybernius,91,4257.407407,15.74074074,2125000,0.7,5.774725275,26.52747253,70,19,0.208791209,2
Cybernius Ps 51A-2019 Junio 3.xls,Cybernius,107,10177.82427,20.08368201,960000,0.2,5.347169811,28.43396226,100,22.9,0.214018692,2.2
Cybernius Ps 51B-2019 Septiembre 29.xls,Cybernius,113,4392.259414,16.21338912,775000,0.4,5.25840708,24.78318584,65,26.8,0.237168142,1.6
Cybernius Ps 51C-2020 Enero 6.xls,Cybernius,90,6929.916318,17.78242678,850000,0.6,4.942696629,25.87865169,90,24.5,0.272222222,1.8
Cybernius Ps 5J -2014 Marzo 19.xls,Cybernius,111,2656.806723,8.067226891,960000,0.1,4.981981982,27.7027027,75,19.8,0.178378378,2.2
Cybernius Ps 5K -2014 Junio 25.xls,Cybernius,82,1913.94958,8.235294118,980000,0.1,5.017073171,27.63414634,84,17,0.207317073,1.6
Cybernius Ps 5L -2014 Diciembre 10.xls,Cybernius,141,3090.336134,8.067226891,960000,0.1,4.80070922,25.78085106,78,21.9,0.155319149,2.2
Cybernius Ps 5S -2017 Marzo 30.xls,Cybernius,71,3066.386555,13.02521008,1550000,0.6,5.204225352,29,75,19.3,0.271830986,1.6
Cybernius Ps 5T -2017 Julio 10.xls,Cybernius,81,4313.02521,11.17647059,1330000,0.2,5.079012346,27.50617284,100,18,0.222222222,2.1
Cybernius Ps 5U -2017 Diciembre 3.xls,Cybernius,115,3950,11.97478992,1425000,0.4,4.753043478,25.53043478,91,22,0.191304348,1.7
Cybernius Ps 6N -2014 Diciembre 9.xls,Cybernius,134,2871.538462,8.041958042,1150000,0.1,5.197761194,25.84328358,72,20,0.149253731,2.5
Cybernius Ps 8L -2014 Julio 25.xls,Cybernius,108,2234.947644,11.95026178,1826000,0.1,5.058333333,27.91666667,68,19,0.175925926,1.5
Cybernius Ps CY-11A-2019 Junio 5.xls,Cybernius,110,8759.58379,17.63417306,1610000,0.3,5.418181818,28.28445455,100,24.8,0.225454545,2
Cybernius Ps CY-11B-2019 Septiembre 28.xls,Cybernius,112,3995.071194,15.33406353,1400000,0.4,5.296428571,24.98214286,59,25.8,0.230357143,1.7
Cybernius Ps CY-11C-2020 Enero 6.xls,Cybernius,93,4759.036145,16.04600219,1465000,0.45,5.635869565,25.71413043,92,25.9,0.278494624,1.2
Cybernius Ps CY-12A-2019 Abrril 22.xls,Cybernius,100,6437.568456,15.83789704,1446000,0.05,5.746,28.5729,100,21.6,0.216,1.9
Cybernius Ps CY-12B-2019 Julio 21.xls,Cybernius,83,4931.544359,16.27601314,1486000,1.2,5.25060241,26.02409639,69,22.1,0.26626506,2
Cybernius Ps CY-12C-2019 Noviembre 13.xls,Cybernius,106,6475.903614,17.57940854,1605000,0.21,5.702830189,24.85849057,78,20.6,0.194339623,2.3
Cybernius Ps CY-13B-2019 Agosto 29.xls,Cybernius,96,4532.142857,22.14285714,1550000,0.18,5.329375,24.78125,48,19.9,0.207291667,2.1
Cybernius Ps CY-13C-2020 Enero 9.xls,Cybernius,123,8692.857143,22.57142857,1580000,0.31,5.595121951,25.5300813,64,28.2,0.229268293,2.1
Cybernius Ps CY-14B-2019 Agosto 31.xls,Cybernius,98,5608.571429,22,1540000,0.27,5.298163265,24.75510204,64,23.3,0.237755102,1.7
