cycle,Finca,day,feed,initial_density,initial_population,initial_weight,morning_oxygen,morning_temperature,survival_rate,weight,sgr,fca
Aglipesca Ps 68-2017 Diciembre 21.xls,Aglipesca,100,3259.148936,16.63829787,1955000,0.2,4.095918367,25.86326531,100,20,0.2,1.6
Aglipesca Ps 68-2017 Septiembre 10.xls,Aglipesca,96,3968.085106,14.08902128,1655460,0.7,3.924731183,26.01827957,100,19.5,0.203125,1.8
Aglipesca Ps 68-2018 Julio 13.xls,Aglipesca,87,2925.531915,11.14042553,1309000,0.2,3.613095238,26.96309524,100,22,0.252873563,1.5
Aglipesca Ps 68-2019 Marzo 23.xls,Aglipesca,114,4302.12766,13.66808511,1606000,0.1,3.638672566,27.85840708,100,28.9,0.253508772,1.9
Aglipesca ps 68-2017 Mayo 28.xls,Aglipesca,78,3430.638298,12.65957447,1487500,0.2,4.134615385,28.5025641,100,21,0.269230769,1.3
Aglipesca ps 68-2018 Noviembre 10.xls,Aglipesca,103,2499.148936,8.115744681,953600,0.2,4.026470588,24.94509804,100,24.3,0.23592233,1.7
Aglipesca ps 68-2018 abril 12.xls,Aglipesca,96,3004.255319,23.14893617,2720000,0.2,3.648958333,28.61979167,100,21,0.21875,2.1
Aquadegfer Ps 1-2019 Noviembre 15.xls,Aquadegfer,109,4012.019231,20,416000,0.2,4.847619048,23.04571429,65,16.7,0.153211009,1.9
Aqualinter Ps 1-2019 Abril 2.xls,Aqualinter,83,2006.998213,10.6611078,1790000,0.2,2.651807229,29.12409639,66.43,21.3,0.256626506,1.3
Aqualinter Ps 1-2019 Agosto 1.xls,Aqualinter,95,2995.235259,13.10303752,2200000,0.2,3.498947368,26.39894737,61.1,23.03,0.242421053,1.6
Aqualinter Ps 10A-2019 Abril 5.xls,Aqualinter,82,1987.468672,12.76691729,509400,0.7,2.697530864,28.66049383,57.8,19,0.231707317,1.4
Aqualinter Ps 10A-2019 Junio 16.xls,Aqualinter,68,2681.704261,12.53132832,500000,0.2,3.529411765,27.93970588,91.18,16.56,0.243529412,1.4
Aqualinter Ps 11-2019 Abril 28.xls,Aqualinter,105,3777.529096,13.42882722,1500000,0.7,3.824761905,28.82190476,73.79,23,0.219047619,1.7
Aqualinter Ps 11-2019 Julio 31.xls,Aqualinter,86,3619.068935,15.5,1731350,0.7,4.398837209,26.14651163,73.4,23,0.26744186,1.4
Aqualinter Ps 12-2019 Agosto 19.xls,Aqualinter,74,1828.093306,11.15618661,1100000,0.55,4.11369863,25.77945205,56.26,23.68,0.32,1.2
Aqualinter Ps 12-2019 may 18.xls,Aqualinter,50,1186.866126,8.113590264,800000,0.2,3.393877551,28.61428571,88,21,0.42,0.8
Aqualinter Ps 13-2019 Agosto 27.xls,Aqualinter,82,2611.367127,11.52073733,1500000,0.55,4.148148148,25.64567901,68.45,19.84,0.24195122,1.7
Aqualinter Ps 13-2019 Mayo 9.xls,Aqualinter,91,14431.48148,55.55555556,1500000,0.2,2.94,28.72666667,66.3,17.1,0.187912088,2.3
Aqualinter Ps 14-2019 Abril 26.xls,Aqualinter,61,1867.245658,13.08799835,1582339,2.3,3.496721311,29.81311475,72,18,0.295081967,1.1
Aqualinter Ps 14-2019 Septiembre 1.xls,Aqualinter,69,2092.638544,12.40694789,1500000,0.2,4.232352941,24.63235294,56.9,23,0.333333333,1.3
Aqualinter Ps 15-2019 Agosto 26.xls,Aqualinter,83,2607.439446,12,1387200,0.4,3.498795181,25.81686747,77.7,19.82,0.238795181,1.4
Aqualinter Ps 15-2019 Mayo 14.xls,Aqualinter,89,2145.761246,12.97577855,1500000,0.7,3.034831461,29.0505618,55.6,22.27,0.250224719,1.3
